prontoReceipt,magNumber
2603491,1000684049
2603520,1000684052
2603521,1000684055
2603526,1000684058
2603534,1000684061
2603543,1000684064
2603552,1000684067
2603563,1000684070
2603585,1000684073
2603590,1000684076
2603628,1000684079
2603649,1000684082
2603659,1000684085
2603679,1000684088
2603735,1000684091
2603740,1000684094
2603758,1000684097
2603764,1000684100
2603802,1000684103
2603805,1000684106
2603817,1000684109
2603825,1000684112
2603827,1000684115
2603828,1000684118
2603830,1000684121
2603851,1000684124
2603852,1000684127
2603858,1000684130
2603862,1000684133
2603877,1000684136
2603882,1000684139
2603891,1000684142
2603904,1000684145
2603916,1000684148
2603922,1000684151
2603939,1000684157
2603959,1000684160
2603973,1000684163
2603991,1000684166
2604000,1000684169
2604077,1000684172
2604078,1000684175
2604095,1000684178
2604114,1000684181
2604115,1000684184
2604148,1000684187
2604153,1000684190
2604172,1000684193
2604183,1000684196
2604192,1000684199
2604201,1000684202
2604225,1000684205
2604257,1000684208
2604258,1000684211
2604259,1000684214
2604288,1000684217
2604311,1000684220
2604328,1000684223
2604339,1000684226
2604341,1000684229
2604352,1000684232
2604364,1000684235
2604366,1000684238
2604367,1000684241
2604376,1000684244
2604399,1000684247
2604400,1000684253
2604411,1000684256
2604413,1000684259
2604416,1000684262
2604420,1000684268
2604426,1000684271
2604434,1000684274
2604435,1000684265
2604437,1000684277
2604446,1000684280
2604456,1000684283
2604463,1000684286
2604466,1000684289
2604468,1000684292
2604471,1000684295
2604473,1000684298
2604476,1000684301
2604479,1000684304
2604483,1000684307
2604484,1000684310
2604489,1000684313
2604492,1000684316
2604496,1000684319
2604497,1000684322
2604498,1000684325
2604499,1000684328
2604500,1000684331
2604501,1000684334
2604502,1000684343
2604503,1000684370
2604504,1000684373
2604505,1000684376
2604506,1000684379
2604507,1000684382
2604508,1000684385
2604509,1000684388
2604511,1000684391
2604512,1000684394
2604513,1000684397
2604515,1000684400
2604519,1000684403
2604520,1000684406
2604521,1000684409
2604523,1000684412
2604526,1000684415
2604534,1000684418
2604536,1000684421
2604552,1000684424
2604557,1000684427
2604565,1000684430
2604566,1000684433
2604572,1000684436
2604573,1000684439
2604574,1000684442
2605772,1000684445
2604577,1000684448
2604580,1000684451
2604604,1000684457
2604609,1000684460
2604610,1000684463
2604614,1000684466
2604619,1000684469
2604621,1000684472
2604625,1000684475
2604626,1000684478
2604635,1000684481
2604639,1000684484
2604654,1000684487
2604655,1000684490
2604660,1000684493
2604687,1000684496
2604692,1000684499
2604693,1000684502
2604694,1000684505
2604706,1000684508
2604714,1000684511
2604719,1000684514
2604720,1000684517
2604732,1000684520
2604733,1000684523
2604739,1000684526
2604744,1000684529
2604745,1000684532
2604770,1000684535
2604779,1000684538
2604788,1000684541
2604803,1000684544
2604821,1000684547
2604823,1000684550
2604858,1000684553
2604861,1000684556
2604872,1000684559
2604899,1000684562
2604913,1000684565
2604916,1000684568
2604985,1000684571
2604989,1000684574
2605009,1000684577
2605016,1000684580
2605017,1000684583
2605027,1000684586
2605032,1000684589
2605056,1000684592
2605085,1000684595
2605095,1000684598
2605096,1000684601
2605111,1000684604
2605119,1000684607
2605124,1000684610
2605125,1000684613
2605149,1000684616
2605152,1000684619
2605158,1000684622
2605178,1000684628
2605179,1000684625
2605180,1000684631
2605187,1000684634
2605210,1000684637
2605232,1000684640
2605240,1000684643
2605243,1000684646
2605244,1000684649
2605250,1000684652
2605266,1000684658
2605267,1000684655
2605279,1000684661
2605293,1000684664
2605294,1000684667
2605299,1000684670
2605307,1000684673
2605314,1000684676
2605328,1000684679
2605342,1000684682
2605343,1000684685
2605361,1000684688
2605382,1000684691
2605424,1000684694
2605425,1000684697
2605432,1000684700
2605439,1000684703
2605457,1000684706
2605471,1000684709
2605491,1000684712
2605512,1000684715
2605513,1000684718
2605547,1000684721
2605558,1000684724
2605567,1000684727
2605645,1000684730
2605678,1000684733
2605679,1000684736
2605684,1000684739
2605688,1000684742
2605694,1000684745
2605701,1000684748
2605704,1000684751
2605707,1000684754
2605711,1000684757
2605714,1000684760
2605717,1000684763
2605718,1000684766
2605721,1000684769
2605733,1000684772
2605736,1000684775
2605737,1000684778
2605742,1000684781
2605743,1000684784
2605754,1000684787
2605755,1000684790
2605756,1000684793
2605758,1000684796
2605759,1000684799
2605759,1000684799
2605769,1000684802
2605771,1000684805
2605774,1000684811
2605775,1000684808
2605777,1000684817
2605779,1000684823
2605780,1000684829
2605781,1000684832
2605782,1000684835
2605783,1000684838
2605785,1000684841
2605786,1000684844
2605788,1000684847
2605792,1000684850
2605796,1000684853
2605797,1000684859
2605798,1000684862
2605799,1000684856
2605800,1000684865
2605801,1000684868
2605802,1000684871
2605803,1000684877
2605804,1000684880
2605805,1000684883
2605806,1000684889
2605807,1000684892
2605808,1000684895
2605809,1000684898
2605810,1000684901
2605811,1000684913
2605812,1000684916
2605813,1000684922
2605814,1000684925
2605815,1000684928
2605816,1000684931
2605817,1000684934
2605818,1000684937
2605819,1000684940
2605820,1000684943
2605821,1000684946
2605822,1000684949
2605823,1000684952
2605824,1000684955
2605825,1000684958
2605826,1000684961
2605827,1000684964
2605828,1000684967
2605829,1000684970
#N/A,1000684973
2605830,1000684976
2605831,1000684982
2605832,1000684985
2605833,1000684988
2605834,1000684991
2605835,1000684994
2605836,1000684997
2605837,1000685000
2605838,1000685003
2605840,1000685006
2605873,1000685009
2605874,1000685012
2605891,1000685015
2605899,1000685018
2605913,1000685021
2605921,1000685024
2605933,1000685027
